obs_time,valid_time,lead_hour_from_case_start,lon,lat,platform_id,platform_type,obs_wind_speed,obs_wind_dir,gdas_model_step_hour,gdas_wind_speed,gdas_wind_dir,gdas_u10,gdas_v10,era5lagged_model_step_hour,era5lagged_wind_speed,era5lagged_wind_dir,era5lagged_u10,era5lagged_v10,time_diff_minutes,distance_to_typhoon_center_km,azimuth_from_typhoon_center_deg,radius_bin,quadrant,gdas_speed_error,era5lagged_speed_error,gdas_direction_error,era5lagged_direction_error,gdas_abs_error,era5lagged_abs_error,gdas_sq_error,era5lagged_sq_error,coarse_radius_bin,forecast_period
2025-07-19 00:00:00,2025-07-19 00:00:00,48,124.2,16.7,VRCG8,5.0,15.4,180.0,48,12.486891065406358,178.66104101663268,-0.291782629415394,12.48348154067993,168,12.22760089178066,166.5000263164953,-2.854471278190611,11.889752616882324,0.0,575.374505075688,128.94004770949675,400-600 km,rear_right,-2.9131089345936427,-3.1723991082193397,1.33895898336732,13.499973683504692,2.9131089345936427,3.1723991082193397,8.486203664809308,10.064116101830862,400-600 km,48-72 h
2025-07-19 00:00:00,2025-07-19 00:00:00,48,118.81,15.4,YRZSQRB,5.0,6.0,250.0,48,11.696233706423406,251.71700144263832,11.105791538238524,3.669233874320988,168,18.21439994605261,225.7996569715998,13.058020507812492,12.698522190094003,0.0,526.7905330439279,194.0297214372375,400-600 km,rear_left,5.696233706423406,12.214399946052609,1.7170014426383204,24.2003430284002,5.696233706423406,12.214399946052609,32.44707843819414,149.19156604212998,400-600 km,48-72 h
2025-07-19 03:00:00,2025-07-19 03:00:00,51,122.4,23.3,7KEH,5.0,15.4,270.0,51,9.899110236572058,119.48485242342916,-8.617035388946553,4.872277145385762,171,8.691781003938507,113.0005650827764,-8.000793104171771,3.3962283086776903,0.0,436.92002436269854,37.444829677564826,400-600 km,rear_right,-5.500889763427942,-6.708218996061493,150.51514757657085,156.9994349172236,5.500889763427942,6.708218996061493,30.25978818938632,45.000202099120266,400-600 km,48-72 h
2025-07-19 03:00:00,2025-07-19 03:00:00,51,116.11,22.42,EVH28KM,5.0,7.2,320.0,51,6.62402646618594,40.80176103610052,-4.328429492950434,-5.014222247695912,171,8.998724986547145,51.84367904009173,-7.075950358200068,-5.559494393539421,0.0,454.9969973680988,303.51370560700684,400-600 km,front_right,-0.5759735338140599,1.7987249865471453,80.80176103610052,91.84367904009171,0.5759735338140599,1.7987249865471453,0.33174551165425603,3.235411577229028,400-600 km,48-72 h
2025-07-19 03:00:00,2025-07-19 03:00:00,51,119.46,22.97,LED82EE,5.0,5.6,70.0,51,3.7309546710686776,25.861956318827996,-1.6274588325500736,-3.3572906496048174,171,3.3342384209724565,43.89290157440877,-2.3116693527221965,-2.4027756140709107,0.0,310.0091112358721,353.55057550230987,200-400 km,front_right,-1.869045328931322,-2.265761579027543,44.13804368117201,26.107098425591232,1.869045328931322,2.265761579027543,3.4933304415999937,5.133675532997386,0-400 km,48-72 h
2025-07-19 03:00:00,2025-07-19 03:00:00,51,118.92,14.92,TAKFBTD,5.0,9.6,275.0,51,12.830986349136758,249.432170886808,12.01310005493164,4.507730888366702,171,18.02120981167353,225.8759217699147,12.936233175659172,12.546628005218508,0.0,594.468300916222,189.1650393429743,400-600 km,rear_left,3.2309863491367583,8.42120981167353,25.567829113191976,49.1240782300853,3.2309863491367583,8.42120981167353,10.439272788308077,70.91677469222653,400-600 km,48-72 h
2025-07-19 03:00:00,2025-07-19 03:00:00,51,119.09,15.86,YRZSQRB,5.0,5.6,245.0,51,11.739660269080751,247.66422880420296,10.858864482116696,4.46146673107148,171,19.132722541947203,213.4575940662011,10.548246009826649,15.962317437744144,0.0,488.3865443145357,188.9542746066636,400-600 km,rear_left,6.139660269080752,13.532722541947203,2.664228804202964,31.542405933798904,6.139660269080752,13.532722541947203,37.695428219728726,183.13457939732598,400-600 km,48-72 h
2025-07-19 06:00:00,2025-07-19 06:00:00,54,116.9,22.7,EVH28KM,5.0,16.0,40.0,54,9.466371963871763,52.608312258826345,-7.521058349609368,-5.748554553985599,174,10.11591940031244,64.17017918277617,-9.105259380340572,-4.407502346038814,0.0,349.2528769987256,317.4909714096071,200-400 km,front_right,-6.533628036128237,-5.884080599687559,12.608312258826343,24.170179182776167,6.533628036128237,5.884080599687559,42.68829531448092,34.62240450361951,0-400 km,48-72 h
2025-07-19 06:00:00,2025-07-19 06:00:00,54,119.8,23.5,LED82EE,5.0,7.0,230.0,54,2.331727738380635,354.7670664660266,0.2126652240753004,-2.3220094203949038,174,1.1058708550684315,313.1882199576062,0.8063007861375634,-0.756854933500292,0.0,350.2125906602202,10.066355017154478,200-400 km,front_right,-4.668272261619364,-5.8941291449315685,124.76706646602662,83.18821995760618,4.668272261619364,5.8941291449315685,21.792765908604775,34.74075837713174,0-400 km,48-72 h
2025-07-19 06:00:00,2025-07-19 06:00:00,54,123.4,17.9,VRCG8,5.0,15.9,180.0,54,13.651060473022916,169.33975383891678,-2.525238680839533,13.4154620361328,174,13.893114014321794,160.22693896908237,-4.699978027343746,13.07397504806517,0.0,521.4030426244074,121.51233460232464,400-600 km,rear_left,-2.248939526977084,-2.006885985678206,10.660246161083222,19.77306103091763,2.248939526977084,2.006885985678206,5.057728995999911,4.027591359511585,400-600 km,48-72 h
